r,,,,,,,,
rn,--,--,--,rb,--,--,rn,--
--,--,--,--,ra,--,--,--,--
--,--,rb,ra,rk,--,--,--,rr
--,bn,bb,ba,bk,ba,bb,bn,--
--,--,--,--,--,br,--,--,--
--,--,--,--,--,--,--,--,--
bp,--,rc,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,bc,--,rp,--,rp
rn,--,--,--,rb,--,--,rn,--
--,--,--,--,ra,--,--,--,--
--,--,rb,ra,rk,--,--,--,rr
--,bn,bb,ba,bk,ba,bb,bn,--
--,--,--,--,--,br,--,--,--
--,--,--,--,--,--,--,--,--
bp,--,--,--,bp,--,--,--,rc
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,bc,--,rp,--,rp
rn,--,--,--,rb,--,--,rn,--
--,--,--,--,ra,--,--,--,--
--,--,rb,ra,rk,--,--,--,rr
--,bn,--,ba,bk,ba,bb,bn,--
--,--,--,--,--,br,--,--,--
--,--,--,--,bb,--,--,--,--
bp,--,--,--,bp,--,--,--,rc
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,bc,--,rp,--,rp
rn,--,--,--,rb,--,--,rn,--
--,--,--,--,ra,--,--,--,--
--,--,rb,ra,rk,--,--,--,rr
--,bn,--,ba,bk,ba,bb,bn,--
--,--,--,--,--,br,--,--,--
--,--,--,--,bb,--,--,--,--
rc,--,--,--,bp,--,--,--,--
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,bc,--,rp,--,rp
rn,--,--,--,rb,--,--,rn,--
--,--,--,--,ra,--,--,--,--
--,--,rb,ra,rk,--,--,--,rr
--,--,--,ba,bk,ba,bb,bn,--
