r,,,,,,,,
--,--,rn,--,rb,--,rn,--,--
--,--,--,--,ra,--,--,--,--
--,rr,rb,ra,rk,--,--,rr,--
--,--,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,--,bn,bc,bc,--,bn,--,--
bp,--,bp,--,--,--,bp,rc,bp
--,--,--,--,bp,--,--,--,--
--,rc,--,--,--,--,rp,--,--
rp,--,br,--,rp,--,--,--,rp
--,--,rn,--,rb,--,rn,--,--
--,--,--,--,ra,--,--,--,--
--,rr,rb,ra,rk,--,--,rr,--
--,--,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,--,bn,bc,bc,--,bn,--,--
bp,--,bp,--,--,--,bp,rc,bp
--,--,--,--,bp,--,--,--,--
--,rc,--,--,--,--,rp,--,--
rp,--,br,--,rp,--,--,--,rp
--,--,--,--,rb,--,rn,--,--
rn,--,--,--,ra,--,--,--,--
