r,,,,,,,,
--,--,--,--,ba,--,--,--,--
bn,--,bc,--,bb,--,--,bc,--
--,--,bp,--,bn,--,bp,--,bp
--,--,--,--,rc,--,--,--,--
--,--,rp,--,--,--,rp,--,--
br,--,--,--,rp,--,--,--,rp
rn,rc,--,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
--,rr,rb,ra,rk,ra,--,--,rr
--,--,bb,ba,bk,br,--,--,--
--,--,--,--,ba,--,--,--,--
bn,--,bc,--,bb,--,--,bc,--
--,--,bp,--,bn,--,bp,--,bp
--,--,--,--,rc,--,--,--,--
--,--,rp,--,--,--,rp,--,--
br,--,--,--,rp,--,--,--,rp
rn,rc,--,--,rb,--,rn,--,--
