r,,,,,,,,
--,bc,--,--,--,--,bp,bc,--
bp,--,bp,--,bp,--,--,br,bp
--,--,bn,--,bb,--,bn,--,--
--,--,--,--,ba,--,--,--,--
br,--,bb,ba,bk,--,--,--,--
--,--,rb,ra,rk,ra,rb,--,--
--,--,--,rr,--,rr,--,--,--
--,rc,--,--,rc,--,rn,--,--
rp,--,--,--,rn,--,rp,--,rp
--,--,rp,--,rp,--,--,--,--
--,bc,--,--,--,--,bp,bc,--
bp,--,bp,--,bp,--,--,br,bp
--,--,bn,--,bb,--,bn,--,--
--,--,--,--,ba,--,--,--,--
br,--,bb,ba,bk,--,--,--,--
--,--,rb,ra,rk,ra,rb,--,--
--,--,--,rr,--,rr,--,--,--
--,rc,--,--,rc,--,rn,--,--
rp,--,--,--,rn,--,rp,--,rp
--,--,rp,--,rp,--,--,--,--
--,bc,bp,--,--,--,bp,bc,--
bp,--,--,--,bp,--,--,br,bp
--,--,bn,--,bb,--,bn,--,--
--,--,--,--,ba,--,--,--,--
br,--,bb,ba,bk,--,--,--,--
--,--,rb,ra,rk,ra,rb,--,--
--,--,--,--,--,rr,--,--,--
--,rc,--,--,rc,--,rn,--,--
rp,--,--,--,rn,--,rp,--,rp
--,--,rp,--,rp,--,--,--,--
--,bc,bp,--,--,--,bp,bc,--
bp,--,--,rr,bp,--,--,br,bp
--,--,bn,--,bb,--,bn,--,--
--,--,--,--,ba,--,--,--,--
br,--,bb,ba,bk,--,--,--,--
--,--,rb,ra,rk,ra,rb,--,--
--,--,--,--,--,rr,--,--,--
--,rc,--,--,rc,--,rn,--,--
rp,--,--,--,rn,--,rp,--,rp
--,--,bp,--,rp,--,--,--,--
--,bc,--,--,--,--,bp,bc,--
bp,--,--,rr,bp,--,--,br,bp
--,--,bn,--,bb,--,bn,--,--
--,--,--,--,ba,--,--,--,--
br,--,bb,ba,bk,--,--,--,--
--,--,rb,ra,rk,ra,rb,--,--
--,--,--,--,--,rr,--,--,--
--,rc,--,--,rc,--,rn,--,--
rp,--,--,--,--,--,rp,--,rp
--,--,rn,--,rp,--,--,--,--
--,bc,--,--,--,--,bp,bc,--
bp,--,--,rr,bp,--,--,br,bp
--,--,bn,--,bb,--,bn,--,--
--,--,--,--,ba,--,--,--,--
br,--,bb,ba,bk,--,--,--,--
--,--,rb,ra,rk,ra,rb,--,--
--,--,--,--,--,rr,--,--,--
--,rc,--,--,rc,--,rn,--,--
rp,--,--,--,--,--,rp,--,rp
--,--,rn,--,rp,--,--,--,--
--,--,bc,--,--,--,bp,bc,--
bp,--,--,rr,bp,--,--,br,bp
--,--,bn,--,bb,--,bn,--,--
--,--,--,--,ba,--,--,--,--
br,--,bb,ba,bk,--,--,--,--
--,--,--,ra,rk,ra,rb,--,--
--,--,--,--,--,rr,--,--,--
rb,rc,--,--,rc,--,rn,--,--
rp,--,--,--,--,--,rp,--,rp
--,--,rn,--,rp,--,--,--,--
--,--,bc,--,--,--,bp,bc,--
bp,--,--,rr,bp,--,--,br,bp
--,--,bn,--,bb,--,bn,--,--
--,--,--,--,ba,--,--,--,--
br,--,bb,ba,bk,--,--,--,--
--,--,--,ra,rk,ra,rb,--,--
--,--,--,--,--,rr,--,--,--
rb,rc,--,--,rc,--,rn,--,--
rp,--,--,--,--,--,rp,--,rp
--,--,rn,--,rp,--,--,--,--
--,--,bc,--,--,--,bp,bc,--
bp,--,--,rr,bp,--,--,br,bp
--,--,bn,--,bb,--,bn,--,--
--,--,--,--,ba,--,--,--,--
--,br,bb,ba,bk,--,--,--,--
--,--,--,ra,rk,ra,rb,--,--
--,--,--,--,--,rr,--,--,--
rb,rc,--,--,rc,--,rn,--,--
rp,--,--,--,--,--,rp,--,rp
--,--,rn,--,--,--,--,--,--
--,--,bc,--,rp,--,bp,bc,--
bp,--,--,rr,bp,--,--,br,bp
--,--,bn,--,bb,--,bn,--,--
--,--,--,--,ba,--,--,--,--
--,br,bb,ba,bk,--,--,--,--
--,--,--,ra,rk,ra,rb,--,--
--,--,--,--,--,rr,--,--,--
rb,rc,--,--,rc,--,rn,--,--
rp,--,--,--,--,--,rp,--,rp
--,--,rn,--,--,--,--,--,--
--,--,bc,--,bc,--,bp,--,--
bp,--,--,rr,bp,--,--,br,bp
--,--,bn,--,bb,--,bn,--,--
--,--,--,--,ba,--,--,--,--
--,br,bb,ba,bk,--,--,--,--
--,--,--,ra,rk,ra,rb,--,--
--,--,--,--,--,rr,--,--,--
rb,rc,--,--,rc,--,rn,--,--
rp,--,--,--,--,--,rp,--,rp
--,--,--,--,--,--,--,--,--
--,--,bc,--,rn,--,bp,--,--
bp,--,--,rr,bp,--,--,br,bp
--,--,bn,--,bb,--,bn,--,--
--,--,--,--,ba,--,--,--,--
--,br,bb,ba,bk,--,--,--,--
--,--,--,ra,rk,ra,rb,--,--
--,--,--,--,--,rr,--,--,--
rb,br,--,--,rc,--,rn,--,--
rp,--,--,--,--,--,rp,--,rp
--,--,--,--,--,--,--,--,--
--,--,bc,--,rn,--,bp,--,--
bp,--,--,rr,bp,--,--,br,bp
--,--,bn,--,bb,--,bn,--,--
--,--,--,--,ba,--,--,--,--
--,--,bb,ba,bk,--,--,--,--
--,--,--,ra,rk,ra,rb,--,--
--,--,rr,--,--,--,--,--,--
rb,br,--,--,rc,--,rn,--,--
rp,--,--,--,--,--,rp,--,rp
--,--,--,--,--,--,--,--,--
--,--,bc,--,rn,--,bp,--,--
bp,--,--,rr,bp,--,--,br,bp
--,--,bn,--,bb,--,bn,--,--
--,--,--,--,ba,--,--,--,--
--,--,bb,ba,bk,--,--,--,--
--,--,--,ra,rk,ra,rb,--,--
--,--,rr,--,--,--,--,--,--
br,--,--,--,rc,--,rn,--,--
rp,--,--,--,--,--,rp,--,rp
--,--,--,--,--,--,--,--,--
--,--,bc,--,rn,--,bp,--,--
bp,--,--,rr,bp,--,--,br,bp
--,--,bn,--,bb,--,bn,--,--
--,--,--,--,ba,--,--,--,--
--,--,bb,ba,bk,--,--,--,--
--,--,--,ra,rk,ra,rb,--,--
--,--,--,--,--,--,--,--,--
br,--,--,--,rc,--,rn,--,--
rp,--,--,--,--,--,rp,--,rp
--,--,--,--,--,--,--,--,--
--,--,rr,--,rn,--,bp,--,--
bp,--,--,rr,bp,--,--,br,bp
--,--,bn,--,bb,--,bn,--,--
--,--,--,--,ba,--,--,--,--
--,--,bb,ba,bk,--,--,--,--
--,--,--,ra,rk,ra,rb,--,--
--,--,--,--,--,--,--,--,--
br,--,--,--,rc,--,rn,--,--
rp,--,--,--,--,--,rp,--,rp
--,--,--,--,--,--,--,--,--
--,--,rr,--,bp,--,bp,--,--
bp,--,--,rr,--,--,--,br,bp
--,--,bn,--,bb,--,bn,--,--
--,--,--,--,ba,--,--,--,--
--,--,bb,ba,bk,--,--,--,--
--,--,--,ra,rk,ra,rb,--,--
--,--,--,--,--,--,--,--,--
br,--,--,--,rc,--,rn,--,--
rp,--,--,--,--,--,rp,--,rp
--,--,--,--,--,--,--,--,--
--,--,rr,--,bp,--,bp,--,--
bp,--,--,--,--,--,--,rr,bp
--,--,bn,--,bb,--,bn,--,--
--,--,--,--,ba,--,--,--,--
--,--,bb,ba,bk,--,--,--,--
--,--,--,ra,rk,ra,rb,--,--
--,--,--,--,--,--,--,--,--
br,--,--,--,rc,--,rn,--,--
rp,--,--,--,--,--,rp,--,rp
--,--,--,--,--,--,--,--,--
--,--,bb,--,bp,--,bp,--,--
bp,--,--,--,--,--,--,rr,bp
--,--,bn,--,--,--,bn,--,--
--,--,--,--,ba,--,--,--,--
--,--,bb,ba,bk,--,--,--,--
--,--,--,ra,rk,ra,rb,--,--
--,--,--,--,--,--,--,--,--
br,--,--,--,rc,--,rn,--,--
rp,--,--,--,--,--,rp,--,rp
--,--,--,--,--,--,--,--,--
--,--,bb,--,bp,--,bp,--,--
bp,--,rr,--,--,--,--,--,bp
--,--,bn,--,--,--,bn,--,--
--,--,--,--,ba,--,--,--,--
