r,,,,,,,,
--,--,--,rr,--,--,bp,--,--
--,--,rp,rn,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,bn
--,--,--,--,rb,--,--,--,rn
--,--,--,--,--,--,--,--,--
--,rr,--,ra,rk,ra,rb,--,--
--,--,--,ba,bk,ba,bb,--,--
--,--,--,bn,--,--,--,--,br
--,br,--,--,bb,--,--,bc,--
bp,rc,bp,--,bp,--,--,--,bp
--,--,--,rr,--,--,bp,--,--
--,--,rp,rn,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,bn
--,--,--,--,rb,--,--,--,rn
--,--,--,--,--,--,--,--,--
--,rr,--,ra,rk,ra,rb,--,--
--,--,--,ba,bk,ba,bb,--,--
--,--,--,bn,--,--,--,--,br
--,br,--,--,bb,--,--,bc,--
bp,rc,bp,--,bp,--,--,--,bp
--,--,--,--,--,rr,bp,--,--
--,--,rp,rn,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,bn
--,--,--,--,rb,--,--,--,rn
