d,,,,,,,,
bp,--,bp,--,--,--,bp,--,bp
--,--,--,--,rc,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,rb,--,rn,--,--
--,--,--,rn,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,--,rr
--,br,--,--,bk,ba,bb,bn,--
--,--,--,bn,ba,br,--,--,--
--,--,bc,--,bb,--,--,bc,--
bp,--,bp,--,--,--,bp,--,bp
--,--,--,--,rc,--,--,--,--
--,--,rp,--,--,--,rp,--,--
rp,--,--,--,rp,--,--,--,rp
--,rc,--,--,rb,--,rn,--,--
--,--,--,rn,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,--,rr
--,--,--,--,bk,ba,bb,bn,--
--,--,--,bn,ba,br,--,--,--
--,--,bc,--,bb,--,--,bc,--
bp,--,bp,--,--,--,bp,--,bp
--,br,--,--,rc,--,--,--,--
--,--,rp,--,--,--,rp,--,--
rp,--,--,--,rp,--,--,--,rp
--,rc,--,--,rb,--,rn,--,--
--,--,--,rn,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,--,rr
--,--,--,--,bk,ba,bb,bn,--
--,--,--,bn,ba,br,--,--,--
--,--,bc,--,bb,--,--,bc,--
bp,--,bp,--,--,--,bp,--,bp
--,br,--,--,rc,--,--,--,--
--,--,rp,--,rp,--,rp,--,--
rp,--,--,--,--,--,--,--,rp
--,rc,--,--,rb,--,rn,--,--
--,--,--,rn,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,--,rr
--,--,--,--,bk,ba,bb,bn,--
--,--,--,bn,ba,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
bp,--,bp,--,--,--,bp,--,bp
--,br,--,--,rc,--,--,--,--
--,--,rp,--,rp,--,rp,--,--
rp,--,--,--,--,br,--,--,rp
--,rc,--,--,rb,--,rn,--,--
--,--,--,rn,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,--,rr
--,--,--,--,bk,ba,bb,bn,--
--,--,--,bn,ba,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
bp,--,bp,--,--,--,bp,--,bp
--,br,--,--,rc,--,--,--,--
--,--,rp,--,rp,--,rp,--,--
rp,--,--,--,--,br,--,--,rp
--,--,rc,--,rb,--,rn,--,--
--,--,--,rn,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,--,rr
--,--,--,--,bk,ba,bb,bn,--
--,--,--,bn,ba,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
bp,--,bp,--,--,--,bp,--,bp
--,br,--,--,rc,--,--,--,--
--,--,rp,--,rp,--,rp,--,--
rp,--,--,br,--,--,--,--,rp
--,--,rc,--,rb,--,rn,--,--
--,--,--,rn,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,--,rr
--,--,--,--,bk,ba,bb,bn,--
--,--,--,bn,ba,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
bp,--,bp,--,--,--,bp,--,bp
--,br,--,--,rc,--,--,--,--
--,--,rp,--,rp,--,rp,--,--
rp,--,--,br,--,--,--,--,rp
--,--,rc,--,rb,--,rn,--,--
--,--,--,rn,--,--,--,--,--
--,rr,--,ra,rk,ra,rb,--,rr
--,--,--,--,bk,ba,bb,bn,--
--,--,--,bn,ba,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
bp,--,bp,--,--,--,bp,--,bp
--,--,--,--,rc,--,--,--,--
--,--,rp,--,rp,--,rp,--,--
rp,--,--,br,--,--,--,--,rp
--,--,rc,--,rb,--,rn,--,--
--,--,--,rn,--,--,--,--,--
--,br,--,ra,rk,ra,rb,--,rr
--,--,--,--,bk,ba,bb,bn,--
--,--,--,bn,ba,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
bp,--,bp,--,--,--,bp,--,bp
--,--,--,--,rc,--,--,--,--
--,--,rp,--,rp,--,rp,--,--
rp,--,--,br,--,--,--,--,rp
--,--,rc,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
--,rn,--,ra,rk,ra,rb,--,rr
--,--,--,--,bk,ba,bb,--,--
--,--,--,bn,ba,--,--,--,--
--,--,bc,--,bb,--,--,bc,bn
bp,--,bp,--,--,--,bp,--,bp
--,--,--,--,rc,--,--,--,--
--,--,rp,--,rp,--,rp,--,--
rp,--,--,br,--,--,--,--,rp
--,--,rc,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
--,rn,--,ra,rk,ra,rb,--,rr
--,--,--,--,bk,ba,bb,--,--
--,--,--,bn,ba,--,--,--,--
--,--,bc,--,bb,--,--,bc,bn
bp,--,bp,--,--,--,bp,--,bp
--,--,--,--,rc,--,--,--,--
--,--,rp,--,rp,--,rp,--,--
rp,--,--,br,--,--,--,--,rp
--,--,rc,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,rr
--,rn,--,ra,rk,ra,rb,--,--
--,--,--,--,bk,ba,bb,--,--
--,--,--,bn,ba,--,--,--,--
--,--,bc,--,bb,--,--,bc,bn
