d,,,,,,,,
--,br,--,--,rc,--,bp,--,--
--,--,rp,--,rp,--,--,--,--
rp,--,--,--,--,--,rp,--,rp
--,--,rn,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,rr,--
--,--,bb,bk,--,ba,bb,--,br
--,--,--,--,ba,--,--,--,--
--,--,--,bc,bc,--,bn,--,--
bp,--,bp,--,--,--,--,--,bp
--,br,--,--,rc,--,bp,--,--
--,--,rp,--,rp,--,--,--,--
rp,--,--,--,--,--,rp,--,rp
--,--,rn,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,rr,--
--,--,bb,bk,--,ba,bb,--,br
--,--,--,--,ba,--,--,--,--
--,--,--,bc,bc,--,bn,--,--
bp,--,bp,--,--,--,--,--,bp
--,br,--,--,rc,--,bp,--,--
--,--,rp,--,rp,--,--,rr,--
rp,--,--,--,--,--,rp,--,rp
--,--,rn,--,rb,--,rn,--,--
