r,,,,,,,,
--,--,--,--,ba,--,--,--,--
bn,--,--,bc,bc,--,bn,--,--
bp,--,--,--,bp,--,bp,--,bp
--,--,br,--,--,--,--,--,--
--,--,--,rn,--,--,rp,rc,--
rp,--,--,--,rp,--,--,--,rp
--,--,rc,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,rr,--
--,br,bb,--,bk,ba,bb,--,--
--,--,--,--,ba,--,--,--,--
bn,--,--,bc,bc,--,bn,--,--
bp,--,--,--,bp,--,bp,--,bp
--,--,br,--,--,--,--,--,--
--,--,--,rn,--,--,rp,rc,--
rp,--,--,--,rp,--,--,rr,rp
--,--,rc,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,--,--
--,br,bb,--,bk,ba,bb,--,--
--,--,--,--,ba,--,--,--,--
bn,--,--,bc,bc,--,bn,--,--
bp,--,--,--,--,--,bp,--,bp
--,--,br,--,bp,--,--,--,--
--,--,--,rn,--,--,rp,rc,--
rp,--,--,--,rp,--,--,rr,rp
--,--,rc,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,--,--
--,br,bb,--,bk,ba,bb,--,--
--,--,--,--,ba,--,--,--,--
bn,--,--,bc,bc,--,bn,--,--
bp,--,--,--,--,--,bp,--,bp
--,--,br,--,bp,--,--,--,--
--,--,--,rn,--,--,rp,rc,--
rp,--,--,--,rp,--,--,rr,rp
--,--,rc,--,rb,--,rn,--,--
--,--,--,--,ra,--,--,--,--
rr,--,--,--,rk,ra,rb,--,--
