r,,,,,,,,
--,--,rb,ra,rk,ra,rb,--,--
--,--,--,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,bc
--,bc,--,--,bb,--,bn,--,--
br,--,--,--,bp,--,rr,--,bp
bp,bn,bp,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
rn,--,rc,--,rc,--,rn,--,--
--,--,--,rr,--,--,--,--,--
--,--,rb,ra,rk,ra,rb,--,--
--,--,--,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,bc
--,bc,--,--,bb,--,bn,--,--
br,--,--,--,bp,rr,--,--,bp
bp,bn,bp,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
rn,--,rc,--,rc,--,rn,--,--
--,--,--,rr,--,--,--,--,--
--,--,rb,ra,rk,ra,rb,--,--
--,--,--,ba,bk,ba,bb,--,--
--,--,--,--,--,--,--,--,bc
--,bc,--,--,bb,--,bn,--,--
br,--,--,--,bp,rr,--,--,bp
bp,bn,bp,--,--,--,--,br,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
rn,--,rc,--,rc,--,rn,--,--
--,--,--,rr,--,--,--,--,--
--,--,rb,ra,rk,ra,rb,--,--
--,--,--,ba,bk,ba,bb,--,--
--,--,--,--,--,--,--,--,bc
--,bc,--,rr,bb,--,bn,--,--
